UF,MUNICIPIO,REDE,2005,2007,2009,2011,2013,2015,2017,2019
RO,Cacaulândia,Pública,3.4,3.7,3.9,3.9,3.8,3.7,4.0,4.4
RO,Campo Novo de Rondônia,Estadual,-,3.5,3.7,3.8,3.8,4.7,4.8,4.5
RO,Campo Novo de Rondônia,Municipal,2.7,3.1,3.5,3.7,3.9,4.3,-,-
RO,Campo Novo de Rondônia,Pública,2.8,3.1,3.6,3.7,3.8,4.4,4.7,4.4
RO,Candeias do Jamari,Estadual,2.9,3.1,2.5,3.1,3.4,3.3,4.2,4.2
RO,Candeias do Jamari,Municipal,3.1,1.8,-,2.7,1.8,3.3,-,-
RO,Candeias do Jamari,Pública,2.9,2.9,2.5,3.0,3.1,3.2,4.1,3.8
RO,Castanheiras,Estadual,3.4,4.1,3.5,3.7,-,-,4.4,4.8
RO,Castanheiras,Pública,3.8,3.8,3.6,3.7,-,-,3.8,4.6
RO,Chupinguaia,Estadual,3.1,3.1,3.7,3.8,3.7,4.3,4.3,-
RO,Chupinguaia,Municipal,-,-,-,-,-,-,-,-
RO,Chupinguaia,Pública,3.6,3.3,3.9,3.9,3.7,4.3,4.3,-
RO,Cujubim,Estadual,3.4,3.2,3.3,4.0,3.5,4.2,4.9,4.6
RO,Cujubim,Municipal,2.4,3.0,3.4,3.0,3.1,3.2,3.9,-
RO,Cujubim,Pública,2.7,2.9,3.3,3.3,3.2,3.6,4.2,4.1
RO,Governador Jorge Teixeira,Estadual,2.7,2.8,3.4,3.6,3.2,3.3,5.0,4.8
RO,Governador Jorge Teixeira,Municipal,-,-,-,-,-,-,-,-
RO,Governador Jorge Teixeira,Pública,2.8,3.0,3.5,3.4,3.3,3.4,4.8,4.8
RO,Itapuã do Oeste,Estadual,3.0,3.1,3.4,3.4,3.5,3.7,4.6,3.9
RO,Itapuã do Oeste,Pública,2.7,3.1,3.3,3.3,3.4,3.6,4.6,3.9
RO,Ministro Andreazza,Estadual,3.6,2.4,3.1,4.1,5.1,5.0,4.9,5.5
RO,Ministro Andreazza,Municipal,3.5,3.2,3.8,4.0,4.6,4.9,5.5,5.2
RO,Ministro Andreazza,Pública,3.7,3.0,3.6,3.9,4.8,5.0,5.2,5.4
RO,Mirante da Serra,Estadual,3.1,3.3,3.5,3.5,4.5,3.6,4.7,4.9
RO,Mirante da Serra,Municipal,-,-,-,-,-,-,-,-
RO,Mirante da Serra,Pública,3.1,3.4,3.5,3.7,4.5,3.8,4.7,4.9
RO,Monte Negro,Estadual,3.7,3.8,3.9,3.3,4.3,4.0,5.0,4.4
RO,Monte Negro,Municipal,3.2,3.4,3.6,4.0,4.3,-,-,-
RO,Monte Negro,Pública,3.4,3.7,3.8,3.8,4.2,4.1,4.9,4.4
RO,Nova União,Estadual,3.7,4.2,2.9,4.0,-,-,4.6,4.6
RO,Nova União,Municipal,2.5,2.9,3.5,4.0,3.7,3.5,5.1,-
RO,Nova União,Pública,2.8,3.3,3.4,4.0,3.8,3.6,5.0,4.3
RO,Parecis,Estadual,3.4,3.1,3.4,3.2,3.8,4.1,5.9,6.1
RO,Parecis,Municipal,-,3.3,-,3.8,3.6,-,4.2,4.3
RO,Parecis,Pública,3.5,3.3,3.5,3.5,3.7,4.4,4.7,5.1
RO,Pimenteiras do Oeste,Estadual,3.2,3.8,3.4,3.3,3.7,4.4,5.0,4.4
RO,Pimenteiras do Oeste,Pública,3.2,3.8,3.4,3.3,3.7,4.4,5.0,4.4
RO,Primavera de Rondônia,Estadual,3.4,3.5,4.0,4.2,3.8,5.0,5.2,5.3
RO,Primavera de Rondônia,Pública,3.4,3.5,4.0,4.2,3.8,5.0,5.2,5.3
RO,São Felipe D'Oeste,Estadual,3.2,3.2,3.7,3.3,3.8,4.2,4.4,4.5
RO,São Felipe D'Oeste,Municipal,3.0,4.2,3.9,3.5,4.3,4.2,-,-
RO,São Felipe D'Oeste,Pública,3.0,3.5,3.8,3.4,4.0,4.2,4.5,4.5
RO,São Francisco do Guaporé,Estadual,3.0,3.0,2.7,2.4,3.8,4.6,5.6,5.4
RO,São Francisco do Guaporé,Municipal,2.9,3.6,3.6,3.9,3.7,4.3,-,-
RO,São Francisco do Guaporé,Pública,3.0,3.4,3.4,3.3,3.8,4.6,5.6,5.4
RO,Seringueiras,Estadual,3.1,2.9,3.5,3.3,3.6,4.9,5.5,5.2
RO,Seringueiras,Municipal,-,-,-,-,-,-,-,-
RO,Seringueiras,Pública,3.1,3.3,3.7,3.7,3.8,4.8,5.5,5.2
RO,Teixeirópolis,Estadual,3.2,2.8,2.6,4.2,4.7,3.1,5.5,5.2
RO,Teixeirópolis,Municipal,-,3.7,3.1,3.6,4.0,-,4.8,4.9
RO,Teixeirópolis,Pública,3.4,3.4,3.0,3.8,4.2,3.5,5.1,5.0
RO,Theobroma,Estadual,3.2,2.9,3.6,4.8,4.4,4.5,5.3,5.8
RO,Theobroma,Pública,3.1,3.5,3.7,4.4,3.9,4.6,4.9,5.3
RO,Urupá,Estadual,2.4,3.3,3.5,2.6,4.8,4.1,5.5,4.8
RO,Urupá,Municipal,-,-,3.7,3.9,4.3,4.7,4.9,4.2
RO,Urupá,Pública,2.8,3.6,3.5,3.3,4.4,4.6,5.1,4.4
RO,Vale do Anari,Estadual,2.8,3.0,3.3,3.4,4.6,5.0,4.9,4.9
RO,Vale do Anari,Municipal,-,3.8,3.6,-,4.4,4.1,-,-
RO,Vale do Anari,Pública,3.1,3.5,3.5,2.5,4.4,4.4,4.2,4.6
RO,Vale do Paraíso,Estadual,3.7,4.0,3.3,2.6,5.0,3.6,5.9,4.8
RO,Vale do Paraíso,Municipal,3.2,3.6,3.6,4.1,3.8,4.0,4.4,5.0
RO,Vale do Paraíso,Pública,3.4,3.7,3.5,3.9,4.1,3.9,4.9,4.9
AC,Acrelândia,Estadual,3.5,3.7,3.7,3.8,4.2,4.3,4.4,-
AC,Acrelândia,Municipal,-,-,-,-,-,-,-,-
AC,Acrelândia,Pública,3.5,3.8,3.7,3.8,4.2,4.3,4.5,-
AC,Assis Brasil,Estadual,2.9,3.4,4.3,3.7,4.2,4.0,4.1,4.6
AC,Assis Brasil,Pública,3.1,3.4,4.2,3.7,4.2,4.0,4.1,4.6
AC,Brasiléia,Estadual,3.0,4.0,4.9,5.0,5.3,5.4,5.8,6.1
AC,Brasiléia,Pública,3.1,3.9,4.8,5.0,5.3,5.4,5.8,6.1
AC,Bujari,Estadual,3.2,2.4,4.1,3.7,3.9,3.4,3.9,3.6
AC,Bujari,Municipal,-,-,-,-,-,-,-,-
AC,Bujari,Pública,3.2,2.6,4.0,3.6,3.9,3.2,3.8,3.6
AC,Capixaba,Estadual,3.5,3.3,3.8,-,4.2,4.2,4.5,4.3
AC,Capixaba,Municipal,-,-,-,-,-,-,4.0,-
AC,Capixaba,Pública,3.4,3.3,3.8,-,4.4,4.1,4.4,4.4
AC,Cruzeiro do Sul,Estadual,3.6,3.8,4.1,4.4,4.5,4.7,4.8,5.2
AC,Cruzeiro do Sul,Municipal,3.7,3.7,3.9,3.9,3.7,4.4,4.2,4.3
AC,Cruzeiro do Sul,Pública,3.6,3.8,4.1,4.3,4.3,4.7,4.7,5.0
AC,Epitaciolândia,Estadual,2.9,3.6,3.8,4.4,4.7,4.5,5.1,5.0
AC,Epitaciolândia,Pública,3.1,3.7,3.9,4.5,4.7,4.5,5.1,5.0
AC,Feijó,Estadual,3.6,3.9,4.5,4.4,4.4,4.7,4.9,5.2
AC,Feijó,Municipal,2.8,3.3,-,-,-,-,-,-
AC,Feijó,Pública,3.5,3.8,4.5,4.3,4.4,4.7,4.8,5.2
AC,Jordão,Estadual,-,-,2.8,4.0,3.3,-,4.0,4.9
AC,Jordão,Municipal,2.9,3.1,2.9,3.6,3.8,4.0,4.4,4.1
AC,Jordão,Pública,2.9,3.1,2.8,3.7,3.7,4.0,4.2,4.4
AC,Mâncio Lima,Estadual,3.2,3.3,3.6,3.5,3.8,4.0,4.4,4.5
AC,Mâncio Lima,Municipal,2.7,2.7,3.3,-,-,-,-,-
AC,Mâncio Lima,Pública,3.0,3.0,3.5,3.5,3.8,4.0,4.4,4.5
AC,Manoel Urbano,Estadual,3.1,3.4,3.6,3.9,3.9,-,3.9,4.7
AC,Manoel Urbano,Municipal,-,2.4,-,-,-,-,-,-
AC,Manoel Urbano,Pública,2.9,3.1,3.6,3.9,3.9,-,3.8,4.8
AC,Marechal Thaumaturgo,Municipal,2.5,2.4,3.8,3.3,3.1,3.8,4.0,3.9
AC,Marechal Thaumaturgo,Pública,2.5,2.4,3.8,3.3,3.1,3.9,4.0,3.9
AC,Plácido de Castro,Estadual,3.4,3.2,3.8,-,4.2,4.7,4.8,4.8
AC,Plácido de Castro,Municipal,-,-,3.3,-,3.6,3.8,4.7,4.3
AC,Plácido de Castro,Pública,3.4,3.2,3.6,-,4.0,4.4,4.8,4.7
AC,Porto Walter,Estadual,-,2.7,3.3,3.7,3.6,3.6,3.5,4.0
AC,Porto Walter,Municipal,2.9,2.9,3.3,2.6,2.8,3.8,-,-
AC,Porto Walter,Pública,2.8,2.9,3.3,3.0,3.1,3.7,3.6,4.1
AC,Rio Branco,Federal,-,4.4,4.7,-,4.8,3.9,5.7,4.9
AC,Rio Branco,Estadual,3.6,3.8,4.2,4.3,4.5,4.5,4.8,4.8
AC,Rio Branco,Municipal,2.8,-,-,-,-,-,-,-
AC,Rio Branco,Pública,3.5,3.8,4.2,4.2,4.5,4.5,4.8,4.8
AC,Rodrigues Alves,Estadual,3.4,3.3,3.7,3.5,3.9,3.4,4.4,4.7
AC,Rodrigues Alves,Municipal,2.8,-,-,-,-,-,-,-
AC,Rodrigues Alves,Pública,3.0,3.3,3.7,3.5,3.9,3.4,4.4,4.7
AC,Santa Rosa do Purus,Municipal,-,3.1,3.8,3.3,3.3,3.2,2.9,4.0
AC,Santa Rosa do Purus,Pública,-,3.1,3.8,3.3,3.3,3.2,2.9,4.0
AC,Senador Guiomard,Estadual,4.1,3.9,4.0,4.7,4.9,5.1,5.0,4.9
AC,Senador Guiomard,Municipal,3.2,3.6,3.9,4.2,4.5,4.5,4.8,-
AC,Senador Guiomard,Pública,3.7,3.8,3.9,4.5,4.7,4.9,5.0,4.8
AC,Sena Madureira,Estadual,3.2,3.8,3.9,4.2,4.2,3.9,4.4,4.9
AC,Sena Madureira,Municipal,2.2,3.2,3.9,4.4,-,-,-,-
AC,Sena Madureira,Pública,2.8,3.6,3.9,4.3,4.2,3.9,4.3,4.8
AC,Tarauacá,Estadual,3.3,3.7,4.2,4.3,4.4,4.5,4.6,4.7
AC,Tarauacá,Municipal,3.0,3.5,3.6,3.8,4.4,4.7,4.8,-
AC,Tarauacá,Pública,3.3,3.7,4.1,4.2,4.4,4.6,4.6,4.7
AC,Xapuri,Estadual,3.6,3.5,4.1,3.8,3.9,-,4.4,4.5
AC,Xapuri,Municipal,2.9,3.1,-,-,-,-,-,-
AC,Xapuri,Pública,3.4,3.4,4.1,3.8,3.9,-,4.4,4.5
AC,Porto Acre,Estadual,3.5,4.1,3.7,3.5,3.8,3.3,4.0,-
AC,Porto Acre,Municipal,-,-,-,-,-,-,-,-
AC,Porto Acre,Pública,3.4,4.1,3.6,3.5,3.8,3.3,4.0,-
AM,Alvarães,Estadual,-,2.8,3.7,3.0,-,4.0,3.8,3.5
AM,Alvarães,Municipal,-,-,-,-,-,-,3.5,-
AM,Alvarães,Pública,-,2.9,3.7,3.0,-,3.8,3.6,3.4
AM,Amaturá,Estadual,3.0,3.0,3.3,3.8,3.5,4.0,4.2,4.7
AM,Amaturá,Municipal,-,-,-,-,-,4.0,3.5,-
AM,Amaturá,Pública,3.0,3.0,3.3,3.8,3.6,3.7,3.6,4.1
AM,Anamã,Estadual,3.5,3.4,3.9,4.4,4.3,4.4,5.2,4.8
AM,Anamã,Municipal,-,3.6,3.6,3.8,3.7,3.6,4.5,4.1
AM,Anamã,Pública,3.5,3.5,3.8,4.1,4.1,4.1,4.9,4.5
AM,Anori,Estadual,2.5,2.8,3.4,3.6,3.7,4.3,4.5,4.6
AM,Anori,Municipal,-,-,3.7,3.3,4.1,4.2,4.1,4.8
AM,Anori,Pública,2.7,3.1,3.6,3.6,3.9,4.3,4.4,4.7
AM,Apuí,Estadual,-,4.0,4.3,4.7,4.3,-,5.1,5.3
AM,Apuí,Municipal,-,-,-,-,-,-,3.9,4.0
AM,Apuí,Pública,-,3.6,3.7,4.3,4.3,-,4.4,4.7
AM,Atalaia do Norte,Estadual,2.3,3.0,3.2,3.0,3.0,3.5,-,-
AM,Atalaia do Norte,Municipal,-,-,-,-,-,-,-,-
AM,Atalaia do Norte,Pública,2.3,2.8,3.2,2.7,2.9,3.5,-,-
AM,Autazes,Estadual,2.7,3.2,3.4,3.9,3.6,3.9,3.9,3.8
AM,Autazes,Municipal,-,-,-,-,-,-,-,-
AM,Autazes,Pública,2.8,2.9,3.2,3.7,3.6,3.8,3.7,3.8
AM,Barcelos,Estadual,3.2,3.2,3.6,3.9,4.0,4.4,4.7,4.3
AM,Barcelos,Municipal,-,3.3,-,-,-,-,-,-
AM,Barcelos,Pública,3.2,3.2,3.5,3.9,4.0,4.3,4.6,4.2
AM,Barreirinha,Estadual,3.0,3.5,3.9,3.8,3.8,4.3,4.3,4.0
AM,Barreirinha,Municipal,-,3.2,3.2,3.6,3.4,3.0,3.7,3.7
AM,Barreirinha,Pública,3.1,3.6,3.7,3.9,3.7,3.8,4.0,3.8
AM,Benjamin Constant,Estadual,2.4,3.0,3.5,3.5,3.9,4.6,4.3,4.5
AM,Benjamin Constant,Municipal,2.4,2.5,2.8,3.2,3.3,3.8,3.5,3.6
AM,Benjamin Constant,Pública,2.5,2.7,3.0,3.2,3.4,4.0,3.7,3.9
AM,Beruri,Estadual,2.6,3.2,3.2,5.4,4.9,4.1,4.0,4.3
