DIA,SEM_COMPROMISSO,DURACAO_DIA,INICIO,FIM,DURACAO_COMPROMISSO,TITULO,LOCAL
"30-04-2021","Não","330","17:10","18:30","80","""Partida de São Paulo/SP para Brasília/DF""","""Brasília/DF"""
"19-04-2021","Não","350","10:00","10:30","30","""Braga Netto, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"19-04-2021","Não","350","10:30","12:00","90","""Embaixador Carlos França, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"19-04-2021","Não","350","14:30","15:10","40","""Pastor Silas Malafaia, Presidente do Conselho Interdenominacional de Ministros Evangélicos do Brasil (CIMEB)""","""Palácio do Planalto"""
"19-04-2021","Não","350","15:10","15:40","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"19-04-2021","Não","350","16:00","17:00","60","""Solenidade Cívico-Militar comemorativa do Dia do Exército, com a imposição da Ordem do Mérito Militar e da Medalha Exército Brasileiro""","""Brasília/DF"""
"19-04-2021","Não","350","17:20","19:00","100","""Pastor Fábio Sousa, Igreja Fonte da Vida – Movemos""","""Palácio do Planalto"""
"23-04-2021","Não","600","07:30","09:15","105","""Partida de Brasília/DF para Manaus/AM""","""Base Aérea de Brasília, Ala 1"""
"23-04-2021","Não","600","10:10","10:40","30","""Reunião com líderes evangélicos""","""Manaus/AM"""
"23-04-2021","Não","600","10:40","11:40","60","""Cerimônia de Inauguração do Pavilhão de Feiras e Exposições do Centro de Convenções do Amazonas""","""Manaus/AM"""
"23-04-2021","Não","600","13:00","13:50","50","""Entrevista ao apresentador Sikêra Júnior""","""Manaus/AM"""
"23-04-2021","Não","600","13:50","16:40","170","""Partida de Manaus/AM para Belém/PA""","""Aeroporto Internacional de Manaus"""
"23-04-2021","Não","600","17:00","17:45","45","""Cerimônia de Entrega de Cestas de Alimentos do Programa Brasil Fraterno""","""Belém/PA"""
"23-04-2021","Não","600","17:55","20:15","140","""Partida de Belém/PA para Brasília/DF""","""Base Aérea de Belém"""
"11-04-2021","Sim","0","""""","""""","""""","""""",""""""
"14-04-2021","Não","255","09:00","10:15","75","""2ª Reunião do Comitê de Coordenação Nacional para Enfrentamento da Pandemia da Covid-19""","""Palácio do Planalto"""
"14-04-2021","Não","255","11:00","11:30","30","""Onyx Lorenzoni, Ministro de Estado Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"14-04-2021","Não","255","11:30","11:40","10","""Deputado Pr. Marco Feliciano (REPUBLICANOS/SP), Vice-Líder do Governo no Congresso Nacional""","""Palácio do Planalto"""
"14-04-2021","Não","255","14:00","15:00","60","""Anderson Torres, Ministro de Estado da Justiça e Segurança Pública""","""Brasília/DF"""
"14-04-2021","Não","255","15:30","16:00","30","""Humberto Fernandes de Moura, Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"14-04-2021","Não","255","16:00","16:20","20","""Deputado Professor Joziel (PSL/RJ)""","""Palácio do Planalto"""
"14-04-2021","Não","255","17:00","17:30","30","""Claudio Castro, Governador em exercício do estado do Rio de Janeiro""","""Palácio do Planalto"""
"13-04-2021","Não","250","09:30","10:20","50","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"13-04-2021","Não","250","14:40","15:45","65","""Fábio Faria, Ministro de Estado das Comunicações""","""Palácio do Planalto"""
"13-04-2021","Não","250","15:45","16:00","15","""Humberto Fernandes de Moura, Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"13-04-2021","Não","250","16:00","16:15","15","""Desembargador Marcelo Buhatem, Presidente da Associação Nacional de Desembargadores – ANDES""","""Palácio do Planalto"""
"13-04-2021","Não","250","16:15","16:50","35","""Deputado Vitor Hugo (PSL/GO), Líder do PSL na Câmara dos Deputados""","""Palácio do Planalto"""
"13-04-2021","Não","250","16:50","18:00","70","""Senador Jorginho Mello (PSL/SC), Vice-Líder do Governo no Congresso Nacional""","""Palácio do Planalto"""
"07-04-2021","Não","605","07:00","09:00","120","""Partida de Brasília/DF para Chapecó/SC""","""Base Aérea de Brasília"""
"07-04-2021","Não","605","09:40","10:10","30","""Visita ao Centro Avançado de Atendimento COVID-19""","""Chapecó/SC"""
"07-04-2021","Não","605","10:20","11:00","40","""Apresentação das experiências do Município de Chapecó no enfrentamento à pandemia de COVID-19""","""Teatro Municipal de Chapecó/SC"""
"07-04-2021","Não","605","11:55","12:40","45","""Partida de Chapecó/SC para Foz do Iguaçu/PR""","""Aeroporto de Chapecó"""
"07-04-2021","Não","605","13:50","14:40","50","""Cerimônia de inauguração do Novo Pátio de manobras e da duplicação da Via de Acesso ao Aeroporto e término da Obra Civil da Pista de Pouso""","""Foz do Iguaçu/PR"""
"07-04-2021","Não","605","15:30","16:20","50","""Cerimônia de posse do novo Diretor-Geral Brasileiro da Itaipu Binacional, General João Francisco Ferreira""","""Foz do Iguaçu/PR"""
"07-04-2021","Não","605","17:05","18:25","80","""Partida de Foz do Iguaçu/PR para São Paulo/SP""","""Aeroporto Internacional de Foz do Iguaçu/Cataratas"""
"07-04-2021","Não","605","19:00","20:50","110","""Jantar com empresários""","""São Paulo/SP"""
"07-04-2021","Não","605","21:40","23:00","80","""Partida de São Paulo/SP para Brasília/DF""","""Aeroporto de Congonhas"""
"01-04-2021","Não","60","11:00","11:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio da Alvorada"""
"01-04-2021","Não","60","11:30","12:00","30","""Carlos Alberto Franco França, Ministro de Estado das Relações Exteriores; e Flávio Augusto Viana Rocha, Secretário Especial de Assuntos Estratégicos da Presidência da República""","""Palácio da Alvorada"""
"09-07-2021","Não","410","08:30","09:35","65","""Partida de Brasília/DF para Pirassununga/SP""","""Base Aérea de Brasília"""
"09-07-2021","Não","410","10:00","11:00","60","""Solenidade Militar de Entrega de Espadins dos Cadetes da Força Aérea Brasileira""","""Pirassununga/SP"""
"09-07-2021","Não","410","12:00","13:30","90","""Partida de Pirassununga/SP para Caxias do Sul/RS""","""Aeródromo da AFA"""
"09-07-2021","Não","410","14:10","14:40","30","""Visita à planta produtiva da UCSGRAPHENE""","""Caxias do Sul/RS"""
"09-07-2021","Não","410","15:30","16:30","60","""Cerimônia alusiva à abertura da 1ª Feira Brasileira do Grafeno""","""Caxias do Sul/RS"""
"09-07-2021","Não","410","17:15","17:30","15","""Partida de Caxias do Sul/RS para Bento Gonçalves/RS""","""Aeroporto Regional de Caxias do Sul"""
"09-07-2021","Não","410","18:45","20:15","90","""Jantar com produtores vitivinícolas""","""Bento Gonçalves/RS"""
"15-07-2021","Não","40","16:45","17:15","30","""Despacho""","""São Paulo/SP"""
"15-07-2021","Não","40","18:25","18:35","10","""Entrevista a Sikêra Júnior, RedeTV (videoconferência)""","""São Paulo/SP"""
"17-07-2021","Não","90","11:00","11:30","30","""Pedro Guimarães, Presidente da CAIXA (live)""","""São Paulo/SP"""
"17-07-2021","Não","90","11:30","12:00","30","""Deputado Cezinha de Madureira (PSD/SP), Vice-Líder do Governo no Congresso Nacional""","""São Paulo/SP"""
"17-07-2021","Não","90","17:30","18:00","30","""Paulo Skaf, Presidente da Federação das Indústrias do Estado de São Paulo - FIESP""","""São Paulo/SP"""
"22-07-2021","Não","330","09:00","09:30","30","""Entrevista: Rádio Banda B – Curitiba/PR""","""Palácio do Planalto"""
"22-07-2021","Não","330","10:00","10:30","30","""Cerimônia de inauguração da Antena de Recepção Multissatelital""","""Brasília/DF"""
"22-07-2021","Não","330","10:45","13:45","180","""Braga Netto, Ministro de Estado da Defesa""","""Brasília/DF"""
"22-07-2021","Não","330","15:30","16:00","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"22-07-2021","Não","330","16:00","16:30","30","""Mario Frias, Secretário Especial de Cultura do Ministério do Turismo""","""Palácio do Planalto"""
"22-07-2021","Não","330","16:30","17:00","30","""José Maria Eymael, Presidente Nacional da Democracia Cristã – DC""","""Palácio do Planalto"""
"21-07-2021","Não","160","09:00","09:30","30","""Entrevista: Jovem Pan Itapetininga/SP""","""Palácio do Planalto"""
"21-07-2021","Não","160","10:00","10:40","40","""Luiz Eduardo Ramos, Ministro de Estado Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"21-07-2021","Não","160","11:00","11:30","30","""Senadora Kátia Abreu (PP/TO), Vice-Líder da Maioria no Senado Federal""","""Palácio do Planalto"""
"21-07-2021","Não","160","15:00","15:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"21-07-2021","Não","160","15:30","16:00","30","""Damares Alves, Ministra de Estado da Mulher, da Família e dos Direitos Humanos""","""Palácio do Planalto"""
"18-07-2021","Sim","0","""""","""""","""""","""""",""""""
"03-07-2021","Sim","0","""""","""""","""""","""""",""""""
"27-07-2021","Não","315","09:00","09:30","30","""Senador Ciro Nogueira (PP/PI), Presidente Nacional dos Progressistas e Vice-Líder do PP no Senado Federal""","""Palácio do Planalto"""
"27-07-2021","Não","315","09:45","10:30","45","""Braga Netto, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"27-07-2021","Não","315","11:00","11:50","50","""Mauro Mendes, Governador do Estado do Mato Grosso""","""Palácio do Planalto"""
"27-07-2021","Não","315","15:00","15:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"27-07-2021","Não","315","15:30","16:00","30","""Deputado Arthur Oliveira Maia (DEM/BA)""","""Palácio do Planalto"""
"27-07-2021","Não","315","16:00","16:30","30","""Luiz Eduardo Ramos, Ministro de Estado Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; Onyx Lorenzoni, Ministro de Estado Chefe da Secretaria-Geral da Presidência da República; e Flávia Arruda, Ministra de Estado Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"27-07-2021","Não","315","17:00","17:40","40","""Cerimônia de assinatura do Decreto que institui o Sistema de Integridade Pública do Poder Executivo Federal""","""Palácio do Planalto"""
"27-07-2021","Não","315","18:00","19:00","60","""Entrevista: Rede Nordeste de Rádio""","""Palácio do Planalto"""
"26-07-2021","Não","210","10:00","10:30","30","""Gilson Machado Neto, Ministro de Estado do Turismo""","""Palácio do Planalto"""
"26-07-2021","Não","210","10:30","11:00","30","""Wagner Rosário, Ministro de Estado da Controladoria-Geral da União""","""Palácio do Planalto"""
"26-07-2021","Não","210","11:30","12:00","30","""Telefonema - Laurentino Cortizo, Presidente da República do Panamá""","""Palácio do Planalto"""
"26-07-2021","Não","210","14:30","15:00","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"26-07-2021","Não","210","15:15","15:30","15","""Mario Frias, Secretário Especial de Cultura do Ministério do Turismo""","""Palácio do Planalto"""
"26-07-2021","Não","210","15:45","16:15","30","""Marcelo Queiroga, Ministro de Estado da Saúde; Flávia Arruda, Ministra de Estado Chefe da Secretaria de Governo da Presidência da República; e Senador Wellington Fagundes (PL/MT)""","""Palácio do Planalto"""
"26-07-2021","Não","210","16:15","16:30","15","""Deputada Aline Sleutjes (PSL/PR), Vice-Líder do Governo no Congresso Nacional""","""Palácio do Planalto"""
"26-07-2021","Não","210","17:00","17:30","30","""Entrevista: Rádio Arapuan""","""Palácio do Planalto"""
"08-07-2021","Não","270","11:00","13:00","120","""LVIII Cúpula de Chefes de Estado do MERCOSUL e Estados Associados (videoconferência)""","""Palácio do Planalto"""
"08-07-2021","Não","270","14:30","15:00","30","""Deputado João Campos (REPUBLICANOS/GO)""","""Palácio do Planalto"""
"08-07-2021","Não","270","15:30","16:30","60","""Luiz Eduardo Ramos, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"08-07-2021","Não","270","16:30","17:00","30","""André de Sousa Costa, Secretário Especial de Comunicação Social do Ministério das Comunicações""","""Palácio do Planalto"""
"08-07-2021","Não","270","17:00","17:30","30","""Fábio Faria, Ministro de Estado das Comunicações""","""Palácio do Planalto"""
"28-07-2021","Não","180","08:30","09:00","30","""Entrevista: Rádio Cidade Luís Eduardo Magalhães/BA""","""Palácio da Alvorada"""
"28-07-2021","Não","180","14:30","15:00","30","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia e Inovações""","""Palácio do Planalto"""
"28-07-2021","Não","180","15:00","15:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"28-07-2021","Não","180","15:30","16:00","30","""Pedro Guimarães, Presidente da CAIXA""","""Palácio do Planalto"""
"28-07-2021","Não","180","16:00","17:00","60","""Cerimônia de sanção do PL 741/2021 – Programa de Cooperação \""Sinal Vermelho\"" contra a violência doméstica""","""Palácio do Planalto"""
"25-07-2021","Sim","0","""""","""""","""""","""""",""""""
"06-07-2021","Não","305","08:00","08:15","15","""Hasteamento da Bandeira Nacional""","""Palácio da Alvorada"""
"06-07-2021","Não","305","08:15","11:30","195","""Reunião com Ministros de Estado""","""Palácio da Alvorada"""
"06-07-2021","Não","305","11:50","12:50","60","""Milton Ribeiro, Ministro de Estado da Educação""","""Palácio do Planalto"""
"06-07-2021","Não","305","15:55","16:10","15","""Deputado Cezinha de Madureira (PSD/SP), Vice-Líder do Governo no Congresso Nacional""","""Palácio do Planalto"""
"06-07-2021","Não","305","16:40","17:00","20","""Solenidade de assinatura do Projeto de Lei que regulamenta a Profissão de Educação Física""","""Palácio do Planalto"""
"10-07-2021","Não","255","09:00","09:30","30","""Partida de Bento Gonçalves/RS para Porto Alegre/RS""","""Aeroporto de Bento Gonçalves"""
"10-07-2021","Não","255","12:45","14:10","85","""Almoço com empresários""","""Porto Alegre/RS"""
"10-07-2021","Não","255","14:40","17:00","140","""Partida de Porto Alegre/RS para Brasília/DF""","""Aeroporto Salgado Filho"""
"29-07-2021","Não","80","11:00","11:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"29-07-2021","Não","80","14:00","14:50","50","""Entrevista: Ratinho, Apresentador do SBT""","""Palácio do Planalto"""
"20-07-2021","Não","120","08:30","09:00","30","""Entrevista: Rádio Itatiaia""","""Palácio da Alvorada"""
"20-07-2021","Não","120","10:00","11:00","60","""Cerimônia Militar em Comemoração ao Aniversário de Nascimento do Marechal do Ar Alberto Santos-Dumont""","""Base Aérea de Brasília"""
"20-07-2021","Não","120","14:30","15:00","30","""Hamilton Mourão, Vice-Presidente da República""","""Palácio do Planalto"""
"16-07-2021","Não","85","10:40","10:55","15","""Luiz Eduardo Ramos, Ministro de Estado Chefe da Casa Civil da Presidência da República (videoconferência)""","""São Paulo/SP"""
"16-07-2021","Não","85","11:10","11:15","5","""Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura (videoconferência)""","""São Paulo/SP"""
"16-07-2021","Não","85","13:40","13:50","10","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia e Inovações (videoconferência)""","""São Paulo/SP"""
"16-07-2021","Não","85","14:30","14:45","15","""Despacho""","""São Paulo/SP"""
"16-07-2021","Não","85","19:45","20:25","40","""Paulo Guedes, Ministro de Estado da Economia""","""São Paulo/SP"""
"12-07-2021","Não","235","09:00","09:30","30","""José Tostes, Secretário Especial da Receita Federal""","""Palácio do Planalto"""
"12-07-2021","Não","235","09:30","10:00","30","""Onyx Lorenzoni, Ministro de Estado Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"12-07-2021","Não","235","10:00","10:45","45","""André Mendonça, Advogado-Geral da União""","""Palácio do Planalto"""
"12-07-2021","Não","235","14:30","15:00","30","""Anderson Torres, Ministro de Estado da Justiça e Segurança Pública""","""Palácio do Planalto"""
"12-07-2021","Não","235","15:40","16:00","20","""Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento""","""Palácio do Planalto"""
"12-07-2021","Não","235","16:00","16:50","50","""Braga Netto, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"12-07-2021","Não","235","17:00","17:30","30","""Luiz Fux, Presidente do Supremo Tribunal Federal""","""Brasília/DF"""
"02-07-2021","Não","150","10:30","11:00","30","""Onyx Lorenzoni, Ministro de Estado Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"02-07-2021","Não","150","11:00","12:00","60","""JB Carvalho, Bispo da Comunidade das Nações""","""Palácio do Planalto"""
"02-07-2021","Não","150","14:00","14:25","25","""Braga Netto, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"02-07-2021","Não","150","14:35","15:10","35","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"04-07-2021","Sim","0","""""","""""","""""","""""",""""""
"05-07-2021","Não","210","10:00","10:30","30","""André Mendonça, Advogado-Geral da União""","""Palácio do Planalto"""
