sigla_partido,sigla_uf,ano
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSOL,AL,2021
PSL,AL,2021
UP,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PT,AL,2021
PSDB,AL,2023
PSDB,AL,2023
PSDB,AL,2023
PSDB,AL,2023
PTB,AL,2021
PTB,AL,2021
PTB,AL,2021
DC,AM,2021
DC,AM,2021
DC,AM,2021
DC,AM,2021
DC,AM,2021
DC,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
NOVO,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
PATRIOTA,AM,2021
