ano,id_municipio,PT,OUTRO
2002,5215652,495,722
2002,5218508,10319,5966
2002,1702208,2953,4590
2002,1718709,316,265
2002,2904803,1118,953
2002,2905305,1630,2312
2002,2906808,5210,3334
2002,2907707,1968,1181
2002,2908507,7118,1579
2002,2909109,3104,1137
2002,2909604,2146,1103
2002,2911303,1497,1744
2002,2915304,999,657
2002,2918407,37854,5482
2002,2920809,2202,645
2002,2921005,10518,1118
2002,2922052,941,1891
2002,2922409,4766,2055
2002,2924108,1712,629
2002,2925303,16962,4076
2002,2927804,883,292
2002,2928604,19210,3045
2002,2929008,3577,898
2002,2930303,1859,2328
2002,2930758,1643,1147
2002,2931608,1104,2160
2002,2933307,51613,27052
2002,4200309,1127,877
2002,4203402,1838,1302
2002,4203501,2973,894
2002,4205100,1072,532
2002,4206405,3930,1309
2002,4206751,879,283
2002,4207007,18690,2958
2002,4207502,10993,7344
2002,4207577,979,555
2002,4209854,2389,315
2002,4210001,2517,1688
2002,4210100,16846,7272
2002,4212908,4930,1289
2002,4213153,1098,205
2002,4214607,2330,1202
2002,4217956,826,148
2002,3301504,3996,1209
2002,3302908,3860,1246
2002,3303302,153401,30278
2002,3303807,4469,2442
2002,3304151,2523,601
2002,3305505,7882,2627
2002,4101507,19779,16075
2002,4102604,2242,1195
2002,4103024,1120,404
2002,4104253,4610,2158
2002,4105003,2365,1200
2002,4105201,2701,2635
2002,4106506,7065,3007
2002,4107900,1076,1502
2002,4108809,9253,2798
2002,4109906,1597,2323
2002,4110656,786,597
2002,4111209,3010,1222
2002,4111506,7400,5154
2002,4111803,10219,5745
2002,4116505,282,285
2002,4118451,1319,1027
2002,4119103,2642,1438
2002,4119301,7825,2524
2002,4119954,3743,1706
2002,4120903,7600,2404
2002,4121901,3014,2777
2002,4123501,7721,2627
2002,4124053,5946,1972
2002,4124400,4146,2588
2002,4124608,937,1516
2002,4125506,60354,21741
2002,4127403,3423,3368
2002,4128005,4242,3766
2002,4128633,633,1270
2002,4300307,2386,1958
2002,4301057,1362,1057
2002,4303558,720,726
2002,4304309,1793,1657
2002,4304408,6693,7864
2002,4304663,5344,3081
2002,4304697,839,566
2002,4304853,786,357
2002,4305371,784,922
2002,4305603,1065,1194
2002,4306452,956,954
2002,4306601,9336,7176
2002,4306734,2171,1467
2002,4306809,5050,3828
2002,4307559,1756,1570
2002,4307831,942,662
2002,4307864,644,820
2002,4308409,1652,1995
2002,4309308,19707,16260
2002,4310702,1815,1014
2002,4311205,4410,4639
2002,4312476,1232,1608
2002,4312500,1662,2823
2002,4312906,2246,1860
2002,4314159,1480,1873
2002,4315305,6676,2947
2002,4315800,2707,1907
2002,4316428,873,169
2002,4316758,1399,1465
2002,4317509,23204,8836
2002,4318200,3880,5483
2002,4318440,678,1016
2002,4322186,427,524
2002,4322350,621,455
2002,4322533,3112,738
2002,4323457,1104,939
2002,3101904,4849,2880
2002,3102100,2065,3288
2002,3103009,2681,909
2002,3105103,4933,4072
2002,3106606,1098,534
2002,3107703,1623,649
2002,3110004,14072,3915
2002,3110301,2473,3510
2002,3112109,679,659
2002,3113602,1371,1296
2002,3114204,5737,2257
2002,3116001,1220,833
2002,3117405,1129,973
2002,3119203,1722,1656
2002,3120508,2056,1973
2002,3123858,1465,808
2002,3124203,5033,2603
2002,3125002,1290,262
2002,3125408,776,1083
2002,3126208,1499,899
2002,3126505,736,2885
2002,3129202,1372,1223
2002,3129608,1145,1152
2002,3130051,1321,2141
2002,3131604,1357,1116
2002,3133600,1256,1543
2002,3134301,1437,1440
2002,3136108,1464,509
2002,3136207,27041,5186
2002,3136553,617,695
2002,3137502,2887,4070
2002,3139102,1601,1030
2002,3142254,364,1036
2002,3144409,915,1426
2002,3145604,11058,6217
2002,3146107,25274,6653
2002,3147501,331,427
2002,3147907,33398,11266
2002,3148608,1991,2947
2002,3149002,524,217
2002,3149705,1180,1389
2002,3149903,3301,4592
2002,3150539,1094,381
2002,3150604,1592,1572
2002,3153509,966,1204
2002,3155900,1615,597
2002,3156403,1054,659
2002,3159357,1362,562
2002,3161304,1569,980
2002,3161700,877,858
2002,3162005,5981,4222
2002,3165560,1039,432
2002,3165909,1108,1073
2002,3170008,1122,1903
2002,3170438,1331,693
2002,3171600,1912,2559
2002,3500501,2713,3018
2002,3500600,504,797
2002,3502002,768,1064
2002,3503307,27909,15910
2002,3507803,3441,3403
2002,3508306,1301,400
2002,3508900,1026,656
2002,3509452,1142,1019
2002,3511607,2089,2713
2002,3516853,1032,684
2002,3519071,40000,10048
2002,3519709,6905,16327
2002,3520301,4091,6314
2002,3520509,45138,16448
2002,3521804,5194,3139
2002,3523107,46988,18884
2002,3523909,34749,20863
2002,3525508,1439,2876
2002,3525805,1132,895
2002,3526803,11891,8864
2002,3529807,3093,1514
2002,3530300,12233,7125
2002,3534104,1652,1214
2002,3534807,1683,1231
2002,3537156,718,737
2002,3538204,1788,2655
2002,3539400,2449,1888
2002,3541059,798,920
2002,3541109,824,471
2002,3543105,775,659
2002,3544202,1357,1792
2002,3546306,6770,4173
2002,3548401,726,774
2002,3549706,11972,9864
2002,3552304,2233,1366
2002,3553500,989,1461
2002,3555604,2103,2013
2002,3556800,3587,2705
2002,1200302,5729,1049
2002,1200344,1019,661
2002,1300300,2214,2887
2002,1300631,489,1370
2002,1302900,9182,2207
2002,1303908,2137,2635
2002,1304260,502,900
2002,5004304,2937,2000
2002,5004700,4064,3637
2002,3200136,2369,1325
2002,3200805,6446,3569
2002,3201605,5047,2722
2002,3203163,2029,2930
2002,3203304,1486,1448
2002,3204252,1876,988
2002,3204302,998,496
2002,3204955,2357,2183
2002,3205200,84800,30472
2002,5101308,1437,2377
2002,5103254,2661,2009
2002,5103304,2380,2953
2002,5103403,130846,53592
2002,5103452,1183,1282
2002,5105622,2950,4896
2002,5106224,3119,2545
2002,5106265,1245,853
2002,5106372,3028,2442
2002,5107701,2750,2907
2002,5107800,3343,3161
2002,5108808,1285,599
2002,5108956,1140,1138
2002,2701308,1365,2730
2002,2703809,1432,2200
2002,2704609,514,2226
2002,2706505,793,1311
2002,2708501,2601,2657
2002,2708600,5926,4935
2002,2708907,1538,751
2002,2709202,1733,5223
2002,2301257,1240,1280
2002,2302107,7578,1013
2002,2302206,6339,1707
2002,2303105,624,1170
2002,2304202,24224,5037
