"Produto/Unidade","Mês/Ano","Preço Médio"
"BATATA INGLESA MONALISA (kg)","01/2019",3.34
"BATATA INGLESA MONALISA (kg)","02/2019",4.74
"BATATA INGLESA MONALISA (kg)","03/2019",4.79
"BATATA INGLESA MONALISA (kg)","04/2019",5.96
"BATATA INGLESA MONALISA (kg)","05/2019",5.99
"BATATA INGLESA MONALISA (kg)","06/2019",5.81
"BATATA INGLESA MONALISA (kg)","07/2019",5.74
"BATATA INGLESA MONALISA (kg)","08/2019",4.98
"BATATA INGLESA MONALISA (kg)","09/2019",4.59
"BATATA INGLESA MONALISA (kg)","10/2019",3.09
"BATATA INGLESA MONALISA (kg)","11/2019",3.19
"BATATA INGLESA MONALISA (kg)","12/2019",4.24
"BATATA INGLESA MONALISA (kg)","01/2020",4.49
"BATATA INGLESA MONALISA (kg)","02/2020",5.59
"BATATA INGLESA MONALISA (kg)","03/2020",4.85
"BATATA INGLESA MONALISA (kg)","04/2020",4.62
"BATATA INGLESA MONALISA (kg)","05/2020",7.24
"BATATA INGLESA MONALISA (kg)","06/2020",5.24
"BATATA INGLESA MONALISA (kg)","07/2020",2.99
"BATATA INGLESA MONALISA (kg)","08/2020",3.6
"BATATA INGLESA MONALISA (kg)","09/2020",3.58
"BATATA INGLESA MONALISA (kg)","10/2020",6.03
"BATATA INGLESA MONALISA (kg)","11/2020",7.75
"CAFÉ MOÍDO E TORRADO (250 g)","01/2018",5.15
"CAFÉ MOÍDO E TORRADO (250 g)","02/2018",5.27
"CAFÉ MOÍDO E TORRADO (250 g)","03/2018",5.07
"CAFÉ MOÍDO E TORRADO (250 g)","04/2018",5.03
"CAFÉ MOÍDO E TORRADO (250 g)","05/2018",4.95
"CAFÉ MOÍDO E TORRADO (250 g)","06/2018",6.07
"CAFÉ MOÍDO E TORRADO (250 g)","07/2018",5.29
"CAFÉ MOÍDO E TORRADO (500 g)","07/2018",9.01
"CAFÉ MOÍDO E TORRADO (500 g)","08/2018",8.82
"CAFÉ MOÍDO E TORRADO (500 g)","09/2018",9.05
"CAFÉ MOÍDO E TORRADO (500 g)","10/2018",9.61
"CAFÉ MOÍDO E TORRADO (500 g)","11/2018",9.66
"CAFÉ MOÍDO E TORRADO (500 g)","12/2018",9.7
"CAFÉ MOÍDO E TORRADO (500 g)","01/2019",9.41
"CAFÉ MOÍDO E TORRADO (500 g)","02/2019",9.46
