"Produto/Unidade","Mês/Ano","Preço Médio"
"BANANA PRATA (kg)","02/2021",2.73
"BANANA PRATA (kg)","03/2021",2.26
"BANANA PRATA (kg)","04/2021",2.01
"BANANA PRATA (kg)","05/2021",1.69
"BANANA PRATA (kg)","06/2021",1.46
"BANANA PRATA (kg)","07/2021",1.37
"BANANA PRATA (kg)","08/2021",1.52
"BANANA PRATA (kg)","09/2021",1.61
"BANANA PRATA (kg)","10/2021",1.37
"BANANA PRATA (kg)","11/2021",1.24
"BANANA PRATA (kg)","12/2021",2.32
"BANANA PRATA (kg)","01/2022",3.11
"BANANA PRATA (kg)","02/2022",3.16
"BANANA PRATA (kg)","03/2022",3.06
"BANANA PRATA (kg)","04/2022",2.67
"BANANA PRATA (kg)","05/2022",2.33
"BANANA PRATA (kg)","06/2022",2.06
"BATATA-DOCE (30 kg)","08/2018",27.5
"BATATA-DOCE (30 kg)","10/2018",32.07
"BATATA-DOCE (30 kg)","11/2018",31.75
"BATATA-DOCE (30 kg)","12/2018",26.58
"BATATA-DOCE (30 kg)","01/2019",15.97
"BATATA-DOCE (30 kg)","02/2019",14
"BATATA-DOCE (30 kg)","03/2019",12.87
"BATATA-DOCE (30 kg)","04/2019",13.43
"BATATA-DOCE (30 kg)","05/2019",14.76
"BATATA-DOCE (30 kg)","06/2019",14.51
"BATATA-DOCE (30 kg)","07/2019",14.71
"BATATA-DOCE (30 kg)","08/2019",14.45
"BATATA-DOCE (30 kg)","09/2019",17.74
"BATATA-DOCE (30 kg)","10/2019",18.14
"BATATA-DOCE (30 kg)","11/2019",17.99
"BATATA-DOCE (30 kg)","12/2019",14.5
"BATATA-DOCE (30 kg)","01/2020",15.42
"BATATA-DOCE (30 kg)","02/2020",18.41
"BATATA-DOCE (30 kg)","03/2020",19.52
"BATATA-DOCE (30 kg)","04/2020",17.25
"BATATA-DOCE (30 kg)","05/2020",13.81
"BATATA-DOCE (30 kg)","06/2020",15
"BATATA-DOCE (30 kg)","07/2020",13.75
"BATATA-DOCE (30 kg)","08/2020",13.88
"BATATA-DOCE (30 kg)","09/2020",18.42
"BATATA-DOCE (30 kg)","10/2020",20.82
"BATATA-DOCE (30 kg)","11/2020",28.43
"BATATA-DOCE (30 kg)","12/2020",35.35
"BATATA-DOCE (30 kg)","01/2021",38.31
"BATATA-DOCE (30 kg)","02/2021",43.75
"BATATA-DOCE (30 kg)","03/2021",44.63
"BATATA-DOCE (30 kg)","04/2021",28.18
"BATATA-DOCE (30 kg)","05/2021",20.75
"BATATA-DOCE (30 kg)","06/2021",20.36
"BATATA-DOCE (30 kg)","07/2021",19.66
"BATATA-DOCE (30 kg)","08/2021",27.63
"BATATA-DOCE (30 kg)","09/2021",49.82
"BATATA-DOCE (30 kg)","10/2021",47.57
"BATATA-DOCE (30 kg)","11/2021",45.5
"BATATA-DOCE (30 kg)","12/2021",23.2
"BATATA-DOCE (30 kg)","01/2022",30
"BATATA-DOCE (30 kg)","02/2022",27.76
"BATATA-DOCE (30 kg)","03/2022",22.82
"BATATA-DOCE (30 kg)","04/2022",15.99
"BATATA-DOCE (30 kg)","05/2022",14.59
"BATATA-DOCE (30 kg)","06/2022",18.9
"BOI GORDO (15 kg)","01/2018",146.44
"BOI GORDO (15 kg)","02/2018",146.22
"BOI GORDO (15 kg)","03/2018",145.98
"BOI GORDO (15 kg)","04/2018",142.35
"BOI GORDO (15 kg)","05/2018",139.13
"BOI GORDO (15 kg)","06/2018",138.15
"BOI GORDO (15 kg)","07/2018",140.03
"BOI GORDO (15 kg)","08/2018",143.14
"BOI GORDO (15 kg)","09/2018",146.99
"BOI GORDO (15 kg)","10/2018",148.8
"BOI GORDO (15 kg)","11/2018",146.04
"BOI GORDO (15 kg)","12/2018",148.91
"BOI GORDO (15 kg)","01/2019",150.17
"BOI GORDO (15 kg)","02/2019",150.28
"BOI GORDO (15 kg)","03/2019",151.62
"BOI GORDO (15 kg)","04/2019",155.02
"BOI GORDO (15 kg)","05/2019",153.1
"BOI GORDO (15 kg)","06/2019",151.32
"BOI GORDO (15 kg)","07/2019",153.82
"BOI GORDO (15 kg)","08/2019",153.51
"BOI GORDO (15 kg)","09/2019",156.07
"BOI GORDO (15 kg)","10/2019",160.52
"BOI GORDO (15 kg)","11/2019",192.07
"BOI GORDO (15 kg)","12/2019",207.44
"BOI GORDO (15 kg)","01/2020",192.32
"BOI GORDO (15 kg)","02/2020",196.91
"BOI GORDO (15 kg)","03/2020",198.51
"BOI GORDO (15 kg)","04/2020",194.41
"BOI GORDO (15 kg)","05/2020",194.45
"BOI GORDO (15 kg)","06/2020",201.93
"BOI GORDO (15 kg)","07/2020",218.18
"BOI GORDO (15 kg)","08/2020",226.13
"BOI GORDO (15 kg)","09/2020",242.43
"BOI GORDO (15 kg)","10/2020",256.16
"BOI GORDO (15 kg)","11/2020",277.45
"BOI GORDO (15 kg)","12/2020",260.91
"BOI GORDO (15 kg)","01/2021",285.08
"BOI GORDO (15 kg)","02/2021",297.24
"BOI GORDO (15 kg)","03/2021",301.1
"BOI GORDO (15 kg)","04/2021",311.46
"BOI GORDO (15 kg)","05/2021",305.06
"BOI GORDO (15 kg)","06/2021",313.51
"BOI GORDO (15 kg)","07/2021",311.15
"BOI GORDO (15 kg)","08/2021",318.16
"BOI GORDO (15 kg)","09/2021",303.4
"BOI GORDO (15 kg)","10/2021",276.86
"BOI GORDO (15 kg)","11/2021",285.31
"BOI GORDO (15 kg)","12/2021",312.43
"BOI GORDO (15 kg)","01/2022",334.4
"BOI GORDO (15 kg)","02/2022",332.21
"BOI GORDO (15 kg)","03/2022",334.87
"BOI GORDO (15 kg)","04/2022",314.27
"BOI GORDO (15 kg)","05/2022",306.2
"BOI GORDO (15 kg)","06/2022",297.23
"BORRACHA LATEX (kg)","01/2018",1.95
"BORRACHA LATEX (kg)","02/2018",2
"BORRACHA LATEX (kg)","03/2018",2.1
