MONTH,YEAR,STATE,TYPE,MIN,AVG,MAX
"10","2019","RO","ETANOL",3.39,3.783079136690647,4.35
"11","2019","RJ","GNV",2.699,3.185939252336449,4.099
"03","2019","MG","GNV",3.29,3.461148148148148,3.52
"05","2017","DF","ETANOL",2.82,3.302246031746032,3.599
"10","2020","AL","ETANOL",3.259,3.5376326530612245,3.99
"08","2017","SC","GNV",1.78,1.9701176470588233,2.299
"03","2016","CE","ETANOL",2.999,3.2243759479956666,3.69
"10","2020","RN","ETANOL",3.57,3.698078431372549,3.899
"11","2018","MA","DIESEL S10",3.389,3.728982869379015,4.1
"01","2019","MA","DIESEL S10",3.199,3.559732638888889,3.899
"03","2020","MG","GNV",2.999,3.378404761904762,3.699
"10","2020","RO","ETANOL",3.27,3.5324375,3.899
"11","2020","RJ","GNV",2.549,2.8485442176870746,3.299
"11","2020","PB","DIESEL S10",3.349,3.5379831932773107,3.909
"10","2020","AM","ETANOL",2.99,3.3330506329113923,3.599
"06","2016","RS","GASOLINA",3.499,3.887054556726597,4.29
"11","2019","PE","DIESEL S10",3.359,3.6278860398860395,4.049
"10","2018","PE","GNV",2.59,2.6399428571428576,3.32
"05","2018","GO","ETANOL",2.279,2.7896882217090067,3.39
"08","2017","AL","ETANOL",2.979,3.2873459119496853,3.65
"07","2016","PI","ETANOL",2.689,3.009348684210526,3.4
"11","2020","PE","DIESEL S10",3.199,3.484083916083916,3.801
"08","2017","RN","ETANOL",2.99,3.2097083333333334,3.469
"12","2018","MS","ETANOL",2.99,3.363982300884956,3.699
"02","2019","MS","ETANOL",2.949,3.309131964809384,3.699
"08","2017","AM","ETANOL",2.97,3.250051094890511,3.99
"01","2020","MA","DIESEL S10",3.59,3.8483049504950495,4.199
"02","2016","ES","GASOLINA",3.47,3.729858823529412,3.99
"09","2018","BA","DIESEL S10",3.199,3.749141482194418,4.49
"10","2019","RS","ETANOL",3.559,4.033271540469974,4.999
"06","2016","AP","GASOLINA",3.49,3.675,3.98
"05","2017","ES","GASOLINA",3.359,3.694990859232176,3.99
"12","2020","MA","DIESEL",3.43,3.646270588235294,3.899
"08","2020","GO","ETANOL",2.39,2.831961708394698,3.099
