UF;MUNICIPIO;TIPO VEICULO;QUANTIDADE
AC;MANCIO LIMA;UTILITARIO;3
AC;MANOEL URBANO;AUTOMOVEL;256
AC;MANOEL URBANO;BONDE;0
AC;MANOEL URBANO;CAMINHAO;59
AC;MANOEL URBANO;CAMINHAO TRATOR;5
AC;MANOEL URBANO;CAMINHONETE;167
AC;MANOEL URBANO;CAMIONETA;10
AC;MANOEL URBANO;CHASSI PLATAF;0
AC;MANOEL URBANO;CICLOMOTOR;2
AC;MANOEL URBANO;MICRO-ONIBUS;0
AC;MANOEL URBANO;MOTOCICLETA;711
AC;MANOEL URBANO;MOTONETA;139
AC;MANOEL URBANO;ONIBUS;5
AC;MANOEL URBANO;QUADRICICLO;0
AC;MANOEL URBANO;REBOQUE;24
AC;MANOEL URBANO;SEMI-REBOQUE;8
AC;MANOEL URBANO;SIDE-CAR;0
AC;MANOEL URBANO;OUTROS;3
AC;MANOEL URBANO;TRATOR ESTEI;0
AC;MANOEL URBANO;TRATOR RODAS;0
AC;MANOEL URBANO;TRICICLO;0
AC;MANOEL URBANO;UTILITARIO;5
AC;MARECHAL THAUMATURGO;AUTOMOVEL;8
AC;MARECHAL THAUMATURGO;BONDE;0
AC;MARECHAL THAUMATURGO;CAMINHAO;13
AC;MARECHAL THAUMATURGO;CAMINHAO TRATOR;0
AC;MARECHAL THAUMATURGO;CAMINHONETE;39
AC;MARECHAL THAUMATURGO;CAMIONETA;2
AC;MARECHAL THAUMATURGO;CHASSI PLATAF;0
AC;MARECHAL THAUMATURGO;CICLOMOTOR;0
AC;MARECHAL THAUMATURGO;MICRO-ONIBUS;0
AC;MARECHAL THAUMATURGO;MOTOCICLETA;293
AC;MARECHAL THAUMATURGO;MOTONETA;45
AC;MARECHAL THAUMATURGO;ONIBUS;9
AC;MARECHAL THAUMATURGO;QUADRICICLO;0
AC;MARECHAL THAUMATURGO;REBOQUE;0
AC;MARECHAL THAUMATURGO;SEMI-REBOQUE;0
AC;MARECHAL THAUMATURGO;SIDE-CAR;0
AC;MARECHAL THAUMATURGO;OUTROS;0
AC;MARECHAL THAUMATURGO;TRATOR ESTEI;0
AC;MARECHAL THAUMATURGO;TRATOR RODAS;0
AC;MARECHAL THAUMATURGO;TRICICLO;0
AC;MARECHAL THAUMATURGO;UTILITARIO;0
AC;PLACIDO DE CASTRO;AUTOMOVEL;1488
AC;PLACIDO DE CASTRO;BONDE;0
AC;PLACIDO DE CASTRO;CAMINHAO;168
